"","Date_Time","Year","Month","Day","MaxTemp","MinTemp","MeanTemp","HeatDegDays","CoolDegDays","TotalPrecip","SnowGround","Station","GDD"
"1",2016-01-01,2016,1,1,1,-10,-4.5,22.5,0,1,1,"Lethbridge",0
"2",2016-01-02,2016,1,2,2,-5,-1.5,19.5,0,0,2,"Lethbridge",0
"3",2016-01-03,2016,1,3,0,-5,-2.5,20.5,0,12.5,0,"Lethbridge",0
"4",2016-01-04,2016,1,4,-2,-4,-3,21,0,1,13,"Lethbridge",0
"5",2016-01-05,2016,1,5,-8,-15,-11.5,29.5,0,0,14,"Lethbridge",0
"6",2016-01-06,2016,1,6,-1.5,-16,-8.8,26.8,0,0,14,"Lethbridge",0
"7",2016-01-07,2016,1,7,2,-8,-3,21,0,0,14,"Lethbridge",0
"8",2016-01-08,2016,1,8,-7,-15,-11,29,0,0,14,"Lethbridge",0
"9",2016-01-09,2016,1,9,-5,-15,-10,28,0,0,14,"Lethbridge",0
"10",2016-01-10,2016,1,10,-4,-10,-7,25,0,0,14,"Lethbridge",0
"11",2016-01-11,2016,1,11,4,-16,-6,24,0,11,14,"Lethbridge",0
"12",2016-01-12,2016,1,12,1,-2,-0.5,18.5,0,0,4,"Lethbridge",0
"13",2016-01-13,2016,1,13,1,-18,-8.5,26.5,0,10,4,"Lethbridge",0
"14",2016-01-14,2016,1,14,-0.5,-3,-1.8,19.8,0,0,12,"Lethbridge",0
"15",2016-01-15,2016,1,15,-3,-15,-9,27,0,0,12,"Lethbridge",0
"16",2016-01-16,2016,1,16,0,-9,-4.5,22.5,0,0,12,"Lethbridge",0
"17",2016-01-17,2016,1,17,0,-2,-1,19,0,0,12,"Lethbridge",0
"18",2016-01-18,2016,1,18,1,-5,-2,20,0,11,12,"Lethbridge",0
"19",2016-01-19,2016,1,19,0,-8,-4,22,0,5,23,"Lethbridge",0
"20",2016-01-20,2016,1,20,0,-10,-5,23,0,0,28,"Lethbridge",0
"21",2016-01-21,2016,1,21,-1,-5,-3,21,0,0,28,"Lethbridge",0
"22",2016-01-22,2016,1,22,-2.5,-18,-10.3,28.3,0,0,28,"Lethbridge",0
"23",2016-01-23,2016,1,23,-3,-5,-4,22,0,0,28,"Lethbridge",0
"24",2016-01-24,2016,1,24,-5,-18,-11.5,29.5,0,0,28,"Lethbridge",0
"25",2016-01-25,2016,1,25,-3,-18,-10.5,28.5,0,0,28,"Lethbridge",0
"26",2016-01-26,2016,1,26,6,-23,-8.5,26.5,0,2,28,"Lethbridge",0
"27",2016-01-27,2016,1,27,6,-1,2.5,15.5,0,0,10,"Lethbridge",0
"28",2016-01-28,2016,1,28,-1,-14,-7.5,25.5,0,0,2,"Lethbridge",0
"29",2016-01-29,2016,1,29,0,-12,-6,24,0,25,2,"Lethbridge",0
"30",2016-01-30,2016,1,30,-1,-6,-3.5,21.5,0,6,27,"Lethbridge",0
"31",2016-01-31,2016,1,31,0.5,-12,-5.8,23.8,0,0,33,"Lethbridge",0
"32",2016-02-01,2016,2,1,9,-3,3,15,0,0,33,"Lethbridge",0
"33",2016-02-02,2016,2,2,4,0,2,16,0,0,8,"Lethbridge",0
"34",2016-02-03,2016,2,3,-2,-12,-7,25,0,1,4,"Lethbridge",0
"35",2016-02-04,2016,2,4,7,-6,0.5,17.5,0,7,5,"Lethbridge",0
"36",2016-02-05,2016,2,5,10,2,6,12,0,24,1,"Lethbridge",1
"37",2016-02-06,2016,2,6,-1,-3,-2,20,0,0,0,"Lethbridge",1
"38",2016-02-07,2016,2,7,-1,-10,-5.5,23.5,0,2,0,"Lethbridge",1
"39",2016-02-08,2016,2,8,-2,-11,-6.5,24.5,0,4,2,"Lethbridge",1
"40",2016-02-09,2016,2,9,0,-9,-4.5,22.5,0,33,6,"Lethbridge",1
